V1,V2,V3,X1,X2,X3,X4,X5,X6
170,L3,B17,12.87660326,174.0127918,0.022846692,0.046511157,0.007759557,0.13164868
171,L3,B17,12.947753,174.8533682,0.022917815,0.046663153,0.007786716,0.132056459
172,L3,B18,12.80955807,173.4631329,0.022906336,0.046639501,0.007781304,0.132003424
173,L3,B21,13.07079171,178.5212247,0.022925773,0.046663562,0.007783149,0.132107019
174,L3,B18,12.81464282,174.3096125,0.022915639,0.04665827,0.007785047,0.132049448
175,L3,B18,12.941394,175.1854416,0.022919561,0.04665409,0.00778193,0.132071305
176,L3,B17,12.89145318,175.0623899,0.022929852,0.046678648,0.007786838,0.13213267
177,L3,B17,12.90442235,174.6495014,0.022903716,0.046626842,0.007778524,0.131978763
178,L3,B17,13.0826888,177.613053,0.022864584,0.046573107,0.007772158,0.131780977
179,L3,B21,13.17702623,177.9163589,0.022932429,0.046710105,0.007796361,0.132143309
180,L3,B21,13.04397731,177.4389514,0.022928249,0.04669233,0.007792104,0.13212137
181,L3,B21,13.15372215,179.1065519,0.022922266,0.046687038,0.007791203,0.132094399
182,L3,B21,13.08033634,176.5382625,0.022934018,0.046706655,0.007796557,0.132152135
183,L3,B21,12.99690355,177.3821647,0.022924585,0.046692915,0.007793406,0.132101822
184,L3,B21,4.35E-04,177.4977335,0.023218795,0.04728356,0.007890763,0.133796362
185,L3,B21,12.97510651,176.0576124,0.0229251,0.046685547,0.007790572,0.132099348
186,L3,B21,13.12473295,177.8495119,0.022893511,0.046618159,0.007779542,0.131916656
187,L3,B22,12.94671155,175.2643444,0.022892037,0.046610266,0.007776851,0.131916574
188,L3,B22,12.9143223,175.0283012,0.022871554,0.04656995,0.007770714,0.131801597
189,L3,B22,12.75814083,173.8312904,0.022884379,0.046599419,0.00777618,0.131870385
190,L3,B22,12.94131436,175.0870002,0.022902671,0.046636607,0.007782194,0.131974969
191,L3,B22,12.90562309,175.2505426,0.022881688,0.046585269,0.007773215,0.131846466
192,L3,B22,13.01678921,176.3712281,0.022877136,0.04657837,0.007771443,0.131830465
193,L3,B21,13.00184127,176.4562834,NA,0.046682039,0.007789799,0.132106276
194,L3,B21,12.97715879,175.9572587,0.02293001,0.0466954,0.007792295,0.132137536
195,L3,B21,12.94851878,175.6187833,0.02287436,0.046573429,0.007769956,0.131801515
196,L3,B22,13.08287871,177.137724,0.02289165,0.046618978,0.007780247,0.131909645
197,L3,B23,12.9673201,175.3763381,0.022891106,0.046607839,0.007776542,0.131904697
198,L3,B23,12.67880034,172.2941414,0.022878668,0.046582112,0.007772114,0.131833764
199,L3,B23,12.95986451,176.2271411,0.02290177,0.046648301,0.007786535,0.131968041
200,L3,B23,12.91723225,175.7967926,0.022914237,0.046674847,0.007791071,0.13203922
201,L3,B20,13.02948883,176.6388656,0.022893926,0.046622574,0.007780673,0.131925151
202,L3,B20,12.95353614,175.8712057,0.022882003,0.046601173,0.007776723,0.131868653
203,L3,B23,12.79657664,173.9628228,0.022911918,0.046661925,0.007787494,0.132026766
204,L3,B23,12.94263762,175.797624,0.022920234,0.046690313,0.007794262,0.132073614
205,L3,B23,12.92588245,175.9240015,0.022915954,0.046680489,0.007792398,0.132049365
206,L3,B23,12.8852167,175.2836336,0.022925458,0.046696423,0.007794492,0.132103224
207,L3,B23,12.89099371,175.4408571,0.022921136,0.046685079,0.007792207,0.132079965
208,L3,B23,12.97298684,176.3080393,0.022893983,0.046630058,0.007782973,0.131923502
209,L3,B23,100.9006882,173.6171139,0.02287257,0.046591497,0.007777418,0.131799205
210,L3,B20,12.95510445,175.4921564,0.022906164,0.046636227,0.007780394,0.131993032
211,L3,B20,12.93044035,176.2840941,0.022860204,0.046540013,0.007763824,0.131736191
212,L3,B20,12.9820475,175.5726389,0.02288143,0.046570827,0.007769965,0.131851167
213,L3,B23,12.85327467,174.9163075,0.022875533,0.046570622,0.007769393,0.131817351
214,L3,B22,12.96851471,175.2930288,0.022892208,0.046610792,0.007777154,0.131913852
215,L3,B24,13.08875987,176.7999138,0.02286278,0.046559104,0.007769119,0.131744686
216,L3,B24,13.05820848,176.5376805,0.022903215,0.046640729,0.00778286,0.131977526
217,L3,B24,13.01615208,176.2732024,0.022893253,0.046625088,0.007781426,0.131923089
218,L3,B24,12.9157252,175.0094277,0.022839607,0.046510777,0.007762415,0.131601502
219,L3,B24,12.59283743,171.3863853,0.022875762,0.046587725,0.007775133,0.131818011
220,L3,B24,13.03152273,176.2775258,0.022905935,0.046649266,0.007785532,0.131996166
221,L3,B24,2.271076149,314.3759202,0.023183556,0.046842279,0.007811952,0.132432482
222,L3,B21,13.08994835,177.2603601,0.02292251,0.0466973,0.007795975,0.13209242
223,L3,B24,12.970616,175.3469055,0.022918989,0.046657189,0.00778357,0.132066356
